Feature,Correlation
days_since_last_modification,-0.05207176733082806
recent_modification,
near_expiration,
offpeak_diff_dec_january_power,
is_long_term,-0.08364333209428718
contract_duration_days,-0.07391905105597234
tenure_consumption_interaction,-0.049930472409068304
forecast_vs_actual_diff,0.046058552359345015
cons_per_day,-0.04596783240669078
power_utilization_ratio,-0.04361287171665951
gas_cons_per_day,-0.037956749287647314
has_high_power,0.03747669332426767
peak_offpeak_price_ratio,0.03508263075077323
margin_per_consumption,0.03123558961087233
high_consumption_variability,-0.028984168740459757
peak_offpeak_price_diff,0.02761886408567266
is_high_value,0.02306287290499637
year_price_var_total,0.021257786154812417
has_both_services,-0.01953104630257548
significant_price_increase,0.01881200158229179
year_price_total,0.018099144645683542
year_price_fix_total,0.01809900568685768
has_multiple_products,-0.017070343122499682
activation_month,-0.015923423668440146
6m_price_var_total,0.015900506733642912
activation_quarter,-0.015895103997857072
recent_mod_consumption_change,
value_tenure_interaction,-0.036900689724580334
renewal_quarter,-0.014843558815328202
renewal_month,-0.01418077106298012
forecast_vs_actual_ratio,0.013899929550052105
customer_lifetime_value,0.013789262264055422
6m_price_total,0.01335005923146702
6m_price_fix_total,0.013349993065575135
price_forecast_interaction,0.01263112463702368
last_month_to_avg_ratio,-0.008931466775646983
price_sensitivity,-0.006595457969842634
days_until_renewal,-0.006194615612886612
is_inactive,-0.0035444550154365147
offpeak_diff_dec_january_energy,0.0027143597953093435
price_change_acceleration,-0.0008931333187764758
expiration_value_interaction,
